股票代码,股票名称,上市日期
688041,海光信息,2022-08-12
688065,凯赛生物,2020-08-12
688082,盛美上海,2021-11-18
688111,金山办公,2019-11-18
688126,沪硅产业,2020-04-20
688169,石头科技,2020-02-21
688187,时代电气,2021-09-07
688223,晶科能源,2022-01-26
688256,寒武纪,2020-07-20
688271,联影医疗,2022-08-22
688303,大全能源,2021-07-22
688363,华熙生物,2019-11-06
688396,华润微,2020-02-27
688472,阿特斯,2023-06-09
688506,百利天恒,2023-01-06
688561,奇安信,2020-07-22
688599,天合光能,2020-06-10
688981,中芯国际,2020-07-16
